Title,Slug,URL,Category,Build Type/Short Desc,Year,IMO,Flag,Class,Water Depth,Leg Length,Deck Area,Crane Capacity,POB,DWT,Bollard Pull,Helideck
Zakher Duty,zakher-duty,https://zmiglobal.com/fleet/zakher-duty/,DSV (Diving Support Vessel),DSV (Diving Support Vessel),2009,9545235,Panama,BV,,,300,40 TON @3.0 mtr. RADIUS (MAIN- ON BOARD LIFT)/ 6.8 TON @ 12.2mtr. RADIUS (Aux. onboard lift),31,1106,-,
QMS Subhiyah,qms-subhiyah,https://zmiglobal.com/fleet/qms-subhiyah/,313 POB,313 POB,2014,9675420,Panama,ABS,79.2,137.25 m | 137.25,"1,350 m2",1 X 181.4MT,313,1585,,22.2 m
Venus 2,venus-2,https://zmiglobal.com/fleet/venus-2/,,,2020,9812731,REPUBLIC OF PANAMA,ABS,60,94.2 | 94.2,1035 M2,,150,"1,445",,D= 22.20 M
TRITON P,triton-p,https://zmiglobal.com/fleet/triton-p/,Offshore Support Vessel,Offshore Support Vessel,2013,9630145,St. Vincent and the Grenadines,ABS,,,380,PROVISION PEDESTAL MOUNTED TELESCOPIC BOOM ELECTRIC HYDRAULIC CRANE 3 T @3 M TO 16 M ON SINGLE PART,17,1700,-,
Hea Al Sarab,hea-al-sarab,https://zmiglobal.com/fleet/hea-al-sarab/,"268 POB , Self-Elevating Unit","268 POB , Self-Elevating Unit",2025,1046025,Panama,ABS,55 m / 30 m,84 m | 84 m,800 m2,1 x 100 T,268,1215.97 t,,17 m
Pesto 4502,pesto-4502,https://zmiglobal.com/fleet/pesto-4502/,"151 POB SELF-PROPELLED, SELF-ELEVATING BARGE","151 POB SELF-PROPELLED, SELF-ELEVATING BARGE",2005,9759367,Panama,ABS,50 m,74.44 m excluding spud cans | 74.44 m excluding spud cans,800 m²,1 x 45 mT,151,871,,17.46 m
Pili Pili 4503,pili-pili-4503,https://zmiglobal.com/fleet/pili-pili-4503/,"151 POB, Self-propelled, Self-elevating Unit","151 POB, Self-propelled, Self-elevating Unit",2017,9776298,Panama,ABS,44.56 m,75.76 (excluding spudcans) | 75.76 (excluding spudcans),800,1 x 45 mT,151,995.50,,17
Kinoa 4307,kinoa-4307,https://zmiglobal.com/fleet/kinoa-4307/,"151 POB, Self-propelled, Self-elevating Unit","151 POB, Self-propelled, Self-elevating Unit",2012,9609380,Panama,ABS,45 m,66 m excluding spud cans | 66 m excluding spud cans,550 m² (22m x 25m),1 x 45 mT,151,658.08T,,17.4m
Pandan 4502,pandan-4502,https://zmiglobal.com/fleet/pandan-4502/,"247 POB Self-propelled, Self-elevating unit","247 POB Self-propelled, Self-elevating unit",2020,9795373,PANAMA,ABS,50 m,75.78 m | 75.78 m,800 m²,1 X 75 MT,151,937.31 mt,,18 m
HEA Titan,hea-titan,https://zmiglobal.com/fleet/hea-titan/,,,2018,9803170,PANAMA,ABS,50m,4 PILE LEGS X 85 M | 4 PILE LEGS X 85 M,2500 M2,,304,3600 T,,22.2 M
Venus 1,venus-1,https://zmiglobal.com/fleet/venus-1/,,,2019,9812729,Panama,ABS,60,94.2 | 94.2,1035 M2,,150,"1,445",,D= 22.20 M
Suhail,suhail,https://zmiglobal.com/fleet/suhail/,,,2023,9807607,PANAMA,ABS,55,5.95 m | 5.95 m,950 m2,,150 POB,1206.6 t,,"22 D , 12.6 t"
Senyar,senyar,https://zmiglobal.com/fleet/senyar/,,,2023,9807619,Panama,ABS,55,5.95 m | 5.95 m,950 m2,,150 POB,1206.6 t,,"22 D , 12.6 t"
HEA Dhafeer,hea-dhafeer,https://zmiglobal.com/fleet/hea-dhafeer/,"150 POB N/A, Self-Elevating Unit","150 POB N/A, Self-Elevating Unit",2024,1032660,Panama,ABS,53 m,85.80 m | 85.80 m,800 m2,1 x 100T 1x 20T,150,"1,107",,16.63
HEA Al Khatem,hea-al-khatem,https://zmiglobal.com/fleet/hea-al-khatem/,"150 POB Self-Propelled, Non-DP, Self-Elevating Unit","150 POB Self-Propelled, Non-DP, Self-Elevating Unit",2024,1032658,Panama,ABS,55 m,84 m | 84 m,800 m2,1 x 100T 1x 20T,150,"1,107",,16.63 m
HEA Al Muzn,hea-al-muzn,https://zmiglobal.com/fleet/hea-al-muzn/,"192 POB, Self-Elevating Accommodation Unit","192 POB, Self-Elevating Accommodation Unit",2025,1046013,Panama,ABS,55 m,84 m | 84 m,abt. 800,1 X 100T,144,"1,239.64",,17 m
Al Ghweifat,al-ghweifat,https://zmiglobal.com/fleet/al-ghweifat/,"126 POB , Self-Elevating Offshore Support Unit","126 POB , Self-Elevating Offshore Support Unit",1999,8764717,UAE,DNV-GL,40.5 m,61.7 m | 61.7 m,,1 x 190.8T,126,,,19 m
HEA Kraken,hea-kraken,https://zmiglobal.com/fleet/hea-kraken/,"262 POB, DP2, Self Elevating Unit","262 POB, DP2, Self Elevating Unit",2009,9522207,Panama,ABS,41,84.8 M | 84.8 M,appr. 950 m²,1 X 230 MT,262,"1,590",,22.2 m
HEA Hydra,hea-hydra,https://zmiglobal.com/fleet/hea-hydra/,"140 POB , Self-Elevating Offshore Support Unit","140 POB , Self-Elevating Offshore Support Unit",2014,9669093,Panama,ABS,41,Approx. 84.80 m | Approx. 84.80 m,Approx 550 - 600 m2,"KENZ, 1 x 400 MT",140,"1,682",,"22 D , 12.6 t"
